,50PLUS,CDA,CU,D66,DENK,FVD,GL,PvdA,PvdD,PVV,SGP,SP,VVD
king,"0,0","0,0843","0,0","0,0","0,0","0,0","0,1323","0,3592","0,2948","0,0","0,0","0,0","0,0"
klaarlichte,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
klachtenbureau,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
klant,"0,0","0,1686","0,4515","0,2301","0,0","0,2586","0,0","0,1796","0,0983","0,0","0,0591","0,3023","0,0534"
klas,"0,0","0,2529","0,0564","0,0329","0,1351","0,5172","0,1323","0,0599","0,0983","0,0","0,0","0,0","0,1601"
klassiek,"0,0","0,0843","0,1693","0,1315","0,1351","0,0","0,0","0,0","0,0","0,0","0,1774","0,0","0,0534"
kleinbedrijf,"0,0","0,0843","0,0564","0,0","0,6756","0,0","0,0","0,1796","0,39299999999999996","0,0","0,1183","1,0582","0,1601"
kleinschalig,"0,0","0,0843","0,1693","0,0329","0,1351","0,0","0,1323","0,0599","0,2948","0,0","0,0","0,0","0,0534"
kleinschalige,"0,0","0,1686","0,1129","0,1315","0,1351","0,0","0,1323","0,1796","0,2948","0,0","0,1183","0,4535","0,0534"
kleinschaligheid,"0,0","0,0843","0,0","0,0","0,2702","0,0","0,0","0,0","0,0","0,0","0,0591","0,0","0,0"
kleren,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
kleur,"0,0","0,0843","0,0","0,0","0,0","0,5172","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
klimaat,"0,0","0,0843","0,5644","0,3617","0,1351","0,0","0,2646","0,2394","0,8843","0,0","0,3549","0,1512","1,1739"
klimaatafspraken,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
klimaatverandering,"0,0","0,1686","0,7337","0,3945","0,4054","0,0","0,2646","0,2394","0,39299999999999996","0,0","0,1183","0,4535","0,2668"
klinken,"0,0","0,0843","0,0","0,0658","0,0","0,2586","0,0","0,0","0,0","0,0","0,1183","0,0","0,0"
kloppen,"0,0","0,0843","0,0","0,0","0,0","0,0","0,1323","0,0599","0,0","0,0","0,1183","0,0","0,0"
kloppende,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
knooppunt,"0,0","0,0843","0,0564","0,0658","0,0","0,0","0,0","0,0","0,0","0,0","0,0591","0,0","0,0"
komst,"0,0","0,0843","0,0564","0,0658","0,4054","0,2586","0,0","0,1197","0,0","0,0","0,0","0,1512","0,1067"
koninklijk,"0,0","0,1686","0,0","0,1315","0,1351","0,0","0,0","0,0","0,0983","0,0","0,0","0,1512","0,0534"
koninkrijk,"0,0","0,3372","0,7337","0,5918","1,3512","0,2586","0,2646","0,0599","0,0","0,0","0,3549","0,1512","0,3735"
koninkrijksdelen,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
koninkrijksrelatie,"0,0","0,0843","0,0","0,0329","0,4054","0,0","0,1323","0,0","0,0","0,0","0,1774","0,0","0,1067"
koopwoning,"0,0","0,0843","0,1129","0,0986","0,0","0,0","0,1323","0,1197","0,0","0,0","0,0","0,3023","0,1067"
kop,"0,0","0,1686","0,0","0,0","0,1351","0,0","0,0","0,0","0,0","0,0","0,1183","0,0","0,0534"
kopen,"0,0","0,4215","0,3951","0,263","0,0","0,2586","0,0","0,0599","0,1965","0,0","0,0591","0,4535","0,4802"
koper,"0,0","0,0843","0,0","0,0","0,1351","0,0","0,1323","0,0599","0,0983","0,0","0,0591","0,1512","0,1067"
kopgroep,"0,0","0,3372","0,0564","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
kopiëren,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
koppelen,"0,0","0,0843","0,1693","0,263","0,0","0,2586","0,0","0,2394","0,0983","0,0","0,2366","0,1512","0,1067"
kortdurende,"0,0","0,0843","0,0564","0,0","0,0","0,0","0,0","0,0","0,0983","0,0","0,0591","0,0","0,0"
kortzichtig,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0591","0,0","0,0"
kostenpost,"0,0","0,0843","0,0","0,0","0,4054","0,0","0,0","0,0","0,0","0,0","0,0591","0,0","0,0534"
kracht,"0,0","0,3372","0,1693","0,6576","0,8107","0,2586","0,1323","1,317","0,4913","0,0","0,2366","0,0","0,4269"
krachtig,"0,0","0,3372","0,0564","0,1973","0,0","0,0","0,0","0,2394","0,39299999999999996","0,0","0,2366","0,1512","0,2668"
kredietvoorziening,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
krijgsmacht,"0,0","0,3372","0,9594","0,2959","0,0","0,0","0,0","0,1197","0,0983","0,0","0,5323","0,3023","0,8537"
krimpen,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0599","0,0","0,0","0,0","0,0","0,0"
krimpvieden,"0,0","0,2529","0,0564","0,0986","0,1351","0,0","0,1323","0,1197","0,0","0,0","0,0","0,4535","0,0534"
kritiek,"0,0","0,0843","0,0","0,0329","0,0","0,0","0,0","0,0","0,0983","0,0","0,0591","0,1512","0,0"
kroon,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
kruid,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
kundige,"0,0","0,0843","0,0564","0,0","0,1351","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
kunst,"0,0","0,1686","0,2822","0,2301","0,0","0,5172","1,0585","0,6585","1,0808","8,4746","0,1774","1,3605","0,0534"
kunstwerk,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
kwalificatieplicht,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
kwalificeren,"0,0","0,0843","0,0","0,0","0,1351","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
kwalitatief,"0,0","0,0843","0,0564","0,1973","0,0","0,0","0,2646","0,2993","0,0","0,0","0,2366","0,0","0,1067"
kwaliteit,"0,0","1,3488","1,0159","2,0713","1,2161","3,1032","0,7939","1,9156","0,7859999999999999","0,0","1,1829","1,5117","2,0276"
kwaliteitsdoel,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
kwaliteitsimpul,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0599","0,0","0,0","0,0","0,0","0,0"
kwestie,"0,0","0,1686","0,0564","0,0658","0,4054","0,0","0,0","0,2993","0,0","0,0","0,0591","0,0","0,0"
kwetsbaarheden,"0,0","0,0843","0,0","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
kwetsen,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0591","0,0","0,0"
laagbetaald,"0,0","0,0843","0,0","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
laagdrempelige,"0,0","0,0843","0,0","0,0986","0,0","0,0","0,0","0,1197","0,1965","0,0","0,0","0,1512","0,1067"
laagopgeleid,"0,0","0,1686","0,0564","0,0","0,0","0,0","0,0","0,0599","0,0","0,0","0,0","0,0","0,0534"
laagopgeleide,"0,0","0,0843","0,0","0,0","0,1351","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
laat,"0,0","1,2645","0,3951","0,7891","1,2161","0,0","0,2646","0,5986","0,1965","0,0","0,5323","0,1512","0,9071"
laatbloeier,"0,0","0,0843","0,0","0,0658","0,0","0,0","0,1323","0,0","0,0","0,0","0,0","0,0","0,0"
laboratorium,"0,0","0,1686","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lager,"0,0","0,0843","0,2257","0,0","0,0","0,0","0,0","0,0","0,0","8,4746","0,0591","0,0","0,0"
laks,"0,0","0,0843","0,0","0,0","0,0","0,2586","0,0","0,0599","0,0","0,0","0,0","0,0","0,0"
landbouwgebied,"0,0","0,0843","0,0","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0591","0,0","0,0534"
landbouwgrond,"0,0","0,0843","0,0","0,0","0,0","0,0","0,1323","0,0","0,0983","0,0","0,1183","0,0","0,1601"
landbouwsector,"0,0","0,0843","0,0564","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0591","0,0","0,1601"
landerschap,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
landgenote,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
landmacht,"0,0","0,0843","0,0","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,1183","0,0","0,0534"
lands,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0534"
langdurig,"0,0","0,7587","0,0564","0,3945","0,2702","0,2586","0,1323","0,419","0,1965","0,0","0,9463","0,1512","0,3735"
langdurige,"0,0","0,0843","0,0","0,0","0,0","0,2586","0,0","0,0","0,0","0,0","0,1183","0,0","0,1601"
langs,"0,0","0,1686","0,1129","0,1644","0,4054","0,5172","0,1323","0,2394","0,2948","0,0","0,0591","0,907","0,2134"
langzaam,"0,0","0,3372","0,0","0,0329","0,1351","0,0","0,0","0,1197","0,0","0,0","0,0","0,0","0,0534"
leasing,"0,0","0,1686","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leefbaar,"0,0","0,0843","0,7337","0,0329","0,8107","0,0","0,3969","0,2394","0,2948","0,0","0,0591","0,4535","0,0534"
leefomgeving,"0,0","0,2529","0,6208","0,1644","0,0","0,5172","0,3969","0,5986","0,6878","0,0","0,0591","0,3023","0,1067"
leeftijdsgrens,"0,0","0,0843","0,0","0,0329","0,0","0,0","0,1323","0,0599","0,0","0,0","0,0591","0,0","0,0534"
leerontwikkeling,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leerrecht,"0,0","0,2529","0,1129","0,0658","0,0","0,0","0,0","0,0599","0,0","0,0","0,0","0,0","0,0534"
leerroute,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leeswijzer,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lef,"0,0","0,0843","0,0564","0,0329","0,0","0,0","0,1323","0,0","0,0","0,0","0,0","0,0","0,0534"
legale,"0,0","0,0843","0,0","0,0658","0,0","0,0","0,0","0,0599","0,0","0,0","0,0","0,0","0,0"
legalisering,"0,0","0,0843","0,2257","0,0329","0,0","0,2586","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leger,"0,0","0,0843","0,1693","0,0658","0,1351","0,0","0,0","0,0","0,0983","0,0","0,0","0,3023","0,1067"
leidend,"0,0","0,2529","0,0564","0,0658","0,1351","0,0","0,2646","0,2993","0,1965","0,0","0,2366","0,1512","0,3735"
lener,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lening,"0,0","0,3372","0,0","0,0329","0,2702","0,0","0,0","0,0","0,0983","0,0","0,2957","0,1512","0,0534"
lerarenopleiding,"0,0","0,2529","0,0","0,0986","0,1351","0,0","0,0","0,1197","0,0","0,0","0,1774","0,0","0,1067"
leren,"0,0","1,0116","0,6208","0,9206","2,1619","0,0","0,9262","0,9578","0,2948","0,0","0,828","1,8141","1,334"
les,"0,0","0,0843","0,0564","0,263","0,0","0,0","0,5292","0,1197","0,0983","0,0","0,0591","0,3023","0,2668"
lesgeven,"0,0","0,0843","0,0","0,0986","0,0","0,0","0,0","0,1197","0,0","0,0","0,1183","0,0","0,0534"
lespakket,"0,0","0,0843","0,0564","0,0","0,0","0,0","0,0","0,0","0,0983","0,0","0,0","0,0","0,0"
lesstof,"0,0","0,0843","0,0","0,0","0,0","0,0","0,1323","0,0","0,0","0,0","0,0","0,0","0,0"
letterlijk,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,1965","0,0","0,1774","0,0","0,0"
lettertje,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
levensbeschouwelijk,"0,0","0,0843","0,0564","0,0","0,0","0,0","0,0","0,0599","0,0","0,0","0,1183","0,0","0,1067"
levensbeëindiging,"0,0","0,3372","0,0","0,1315","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
levensdelict,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0591","0,0","0,0"
levenseinde,"0,0","0,3372","0,0564","0,0986","0,0","0,2586","0,0","0,0","0,0","0,0","0,0","0,0","0,1067"
levensfase,"0,0","0,1686","0,0","0,0329","0,0","0,0","0,0","0,0599","0,0","0,0","0,0591","0,0","0,0"
levenslang,"0,0","0,0843","0,1693","0,0986","0,1351","0,2586","0,2646","0,0","0,0983","0,0","0,2957","0,0","0,1067"
levensonderhoud,"0,0","0,0843","0,0","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0591","0,0","0,0"
levensovertuiging,"0,0","0,0843","0,0564","0,0329","0,0","0,2586","0,0","0,1197","0,0","0,0","0,1183","0,0","0,0"
levensstijl,"0,0","0,1686","0,0564","0,0658","0,5405","0,0","0,0","0,0599","0,0","0,0","0,0591","0,1512","0,0"
levensstijlen,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
levenstestament,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
levensvragen,"0,0","0,0843","0,0564","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leveren,"0,0","1,3488","1,1287","1,0521","0,6756","0,0","0,0","0,8381","1,2773","0,0","0,5323","0,7559","1,2273"
levering,"0,0","0,0843","0,0","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leveringszekerheid,"0,0","0,2529","0,0","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0534"
leving,"0,0","0,1686","0,0","0,0","0,0","0,0","0,2646","0,1796","0,0983","0,0","0,0","0,0","0,0"
libanon,"0,0","0,0843","0,0564","0,0986","0,0","0,0","0,0","0,1197","0,0","0,0","0,0","0,0","0,0"
libië,"0,0","0,0843","0,0564","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0591","0,0","0,0"
licht,"0,0","0,0843","0,1693","0,0986","0,1351","0,0","0,0","0,0599","0,1965","0,0","0,1774","0,0","0,0"
lidmaatschap,"0,0","0,0843","0,0564","0,1315","0,0","0,5172","0,1323","0,0","0,0","0,0","0,0591","0,0","0,0534"
lidstaat,"0,0","0,5058","0,6772","0,6904","0,0","0,0","0,2646","0,1796","1,2773","0,0","0,9463","0,4535","0,5869"
liefde,"0,0","0,2529","0,3386","0,0329","0,1351","0,0","0,0","0,0","0,0","0,0","0,2366","0,0","0,1601"
liefdevol,"0,0","0,1686","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
liefst,"0,0","0,0843","0,0","0,2959","0,0","0,0","0,0","0,0","0,0983","0,0","0,1774","0,1512","0,0"
lier,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lijdzaam,"0,0","0,0843","0,0","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lijk,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,1796","0,1965","0,0","0,0","0,0","0,0"
lijn,"0,0","0,2529","0,0564","0,4603","0,0","0,2586","0,0","0,5388","0,0","0,0","0,2957","0,0","0,0534"
lijst,"0,0","0,0843","0,0564","0,0329","0,2702","0,0","0,0","0,1197","0,2948","0,0","0,1774","0,1512","0,1601"
lik,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0591","0,0","0,0"
limburg,"0,0","0,3372","0,0564","0,0329","0,0","0,0","0,0","0,0599","0,0983","0,0","0,0","0,0","0,0"
lingsbank,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
loer,"0,0","0,4215","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0534"
lonen,"0,0","0,0843","0,0","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0591","0,0","0,0"
lonende,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
loondienst,"0,0","0,1686","0,1129","0,0","0,0","0,0","0,1323","0,1796","0,0","0,0","0,0","0,1512","0,0"
loondispensatie,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0599","0,0","0,0","0,0","0,0","0,0"
loonkostensubsidie,"0,0","0,0843","0,0","0,0","0,0","0,0","0,1323","0,0599","0,0","0,0","0,0","0,0","0,0"
loont,"0,0","0,2529","0,0564","0,2301","0,1351","0,2586","0,0","0,0599","0,0983","0,0","0,0","0,0","0,0"
loopbaan,"0,0","0,0843","0,0","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0534"
loopbaanoriëntatie,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0534"
los,"0,0","0,3372","0,1693","0,1315","0,0","0,2586","0,1323","0,0","0,2948","0,0","0,0","0,0","0,1067"
loslaten,"0,0","0,0843","0,1129","0,0658","0,0","0,0","0,0","0,0","0,0","0,0","0,0591","0,0","0,0"
losse,"0,0","0,1686","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lossen,"0,0","0,0843","0,1129","0,3288","0,0","0,0","0,1323","0,1197","0,1965","0,0","0,1183","0,0","0,1067"
lot,"0,0","0,1686","0,0","0,0329","0,2702","0,0","0,1323","0,0","0,0","0,0","0,0","0,0","0,0"
loyaliteit,"0,0","0,0843","0,0564","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0534"
luchtaanvallen,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
luchtkwaliteit,"0,0","0,0843","0,0564","0,0986","0,1351","0,0","0,1323","0,0","0,0983","0,0","0,0591","0,1512","0,2134"
luchtvaart,"0,0","0,0843","0,0564","0,0329","0,0","0,2586","0,0","0,1197","0,0","0,0","0,1183","0,3023","0,0534"
luisteren,"0,0","0,0843","0,0564","0,0658","0,0","0,2586","0,1323","0,0","0,1965","0,0","0,1183","0,0","0,1067"
lukken,"0,0","0,0843","0,0","0,0986","0,0","0,5172","0,0","0,1796","0,0","0,0","0,1183","0,1512","0,1601"
maakindustrie,"0,0","0,0843","0,1129","0,0986","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1512","0,0534"
maal,"0,0","0,0843","0,0","0,0329","0,0","0,0","0,0","0,0","0,0983","0,0","0,0","0,0","0,0"
maaltijd,"0,0","0,0843","0,0564","0,0","0,0","0,0","0,2646","0,0","0,0","0,0","0,0","0,0","0,0"
maand,"0,0","0,1686","0,0564","0,0329","0,0","0,0","0,0","0,0599","0,0","0,0","0,0","0,1512","0,0"
maanden,"0,0","0,2529","0,1129","0,0986","0,0","0,0","0,6616","0,1796","0,1965","0,0","0,1183","0,0","0,1601"
maarten,"0,0","0,0843","0,2257","0,0329","0,5405","0,0","0,2646","0,0","0,0","0,0","0,0","0,3023","0,2134"
maastricht,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0983","0,0","0,0","0,0","0,0534"
mainport,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1601"
mainports,"0,0","0,0843","0,0","0,0986","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0534"
malafide,"0,0","0,0843","0,0","0,0329","0,0","0,0","0,0","0,0599","0,1965","0,0","0,0","0,0","0,1067"
malaise,"0,0","0,0843","0,0","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0591","0,0","0,0"
managementtaal,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
mandaat,"0,0","0,1686","0,0","0,1644","0,0","0,0","0,1323","0,0","0,0","0,0","0,1183","0,0","0,0534"
mannen,"0,0","0,1686","0,2257","0,3945","0,6756","0,0","0,5292","0,2394","0,1965","0,0","0,1774","0,1512","0,2134"
mantelzorgvergoeding,"0,0","0,2529","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
marechaussee,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1183","0,0","0,2668"
markeren,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
markt,"0,0","0,843","1,0159","1,4138","0,1351","0,0","1,1908","0,5388","1,179","0,0","0,3549","1,0582","1,2273"
marktlogica,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
marktpartijen,"0,0","0,0843","0,0","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0591","0,0","0,0"
massaal,"0,0","0,0843","0,0","0,0986","0,1351","0,5172","0,1323","0,0","0,1965","0,0","0,1183","0,1512","0,0"
mateloosheid,"0,0","0,1686","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
materiaal,"0,0","0,0843","0,1693","0,0658","0,1351","0,0","0,1323","0,1197","0,4913","0,0","0,1774","0,1512","0,0534"
materieel,"0,0","0,0843","0,1129","0,1973","0,0","0,0","0,0","0,0599","0,0","0,0","0,0591","0,1512","0,1601"
maximum,"0,0","0,0843","0,0564","0,0658","0,6756","0,0","0,0","0,0599","0,39299999999999996","0,0","0,1183","0,1512","0,0534"
medaille,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
mededingingsrecht,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1512","0,0"
medeplichtig,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
mediator,"0,0","0,0843","0,0","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
medicijn,"0,0","0,3372","0,1129","0,3288","0,0","0,2586","0,2646","0,419","0,2948","0,0","0,2366","0,3023","0,1067"
medicijntekorten,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
meebeslissen,"0,0","0,0843","0,0564","0,0329","0,0","0,0","0,0","0,0599","0,0","0,0","0,0591","0,0","0,0"
meebreng,"0,0","0,0843","0,0","0,0","0,0","0,2586","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
meebrengen,"0,0","0,0843","0,0564","0,0658","0,0","0,0","0,0","0,0","0,0983","0,0","0,0591","0,0","0,1067"
meedenken,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
meedoen,"0,0","0,3372","0,1129","0,2301","0,0","0,0","0,2646","0,2993","0,0","0,0","0,0","0,6047","0,4269"
meegedacht,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0534"
meeloper,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
meemaken,"0,0","0,1686","0,0","0,0","0,1351","0,0","0,0","0,0599","0,0","0,0","0,0","0,0","0,0"
meenemen,"0,0","0,0843","0,0","0,0986","0,0","0,0","0,0","0,1197","0,0","0,0","0,1183","0,1512","0,1601"
meepraten,"0,0","0,1686","0,0","0,0658","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
meerdere,"0,0","0,3372","0,2257","0,1973","0,1351","0,0","0,1323","0,1796","0,0","0,0","0,0591","0,0","0,5336"
meerderheid,"0,0","0,0843","0,0564","0,0","0,2702","0,0","0,0","0,1197","0,0","0,0","0,1774","0,0","0,0"
meerjarencontracten,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
meerjarenplan,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
meerjarig,"0,0","0,1686","0,1693","0,0986","0,0","0,0","0,2646","0,0","0,1965","0,0","0,1774","0,0","0,0534"
meerouderschap,"0,0","0,0843","0,0","0,0329","0,0","0,0","0,0","0,0","0,0983","0,0","0,1183","0,0","0,0"
meervoudige,"0,0","0,0843","0,1129","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
meerwaarde,"0,0","0,0843","0,2257","0,0986","0,1351","0,0","0,0","0,1796","0,0","0,0","0,1183","0,0","0,2134"
meetelt,"0,0","0,0843","0,1129","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
meewegen,"0,0","0,0843","0,1129","0,1315","0,0","0,2586","0,0","0,0","0,0","0,0","0,0591","0,0","0,1601"
meewerken,"0,0","0,1686","0,0","0,0","0,0","0,0","0,1323","0,5388","0,0","0,0","0,0","0,1512","0,3202"
megalomaan,"0,0","0,0843","0,0","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
meisje,"0,0","0,0843","0,2257","0,263","0,0","0,2586","0,0","0,1197","0,0","0,0","0,414","0,0","0,0534"
meldcode,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
melden,"0,0","0,0843","0,0564","0,0658","0,0","0,0","0,1323","0,1197","0,0983","0,0","0,1183","0,3023","0,2668"
meldnorm,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
meldpunt,"0,0","0,0843","0,0","0,0329","0,2702","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
melkveehouder,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0983","0,0","0,1183","0,0","0,0"
mensenhandel,"0,0","0,2529","0,4515","0,2959","0,1351","0,0","0,1323","0,1796","0,0","0,0","0,1774","0,1512","0,0"
menswaardig,"0,0","0,0843","0,1693","0,0986","0,0","0,0","0,0","0,1197","0,1965","0,0","0,0","0,1512","0,0534"
ment,"0,0","0,1686","0,0","0,0","0,0","0,0","0,1323","0,0","0,0983","0,0","0,0","0,0","0,0"
mer,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
merschap,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
mes,"0,0","0,0843","0,0","0,0329","0,0","0,0","0,0","0,0","0,0983","0,0","0,0591","0,0","0,0"
meststof,"0,0","0,1686","0,0","0,0","0,0","0,0","0,0","0,0","0,0983","0,0","0,0","0,0","0,0"
metselaar,"0,0","0,0843","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
