,50PLUS,CDA,CU,D66,DENK,FVD,GL,PvdA,PvdD,PVV,SGP,SP,VVD,Totaal
daarmee,"1,0","9,0","29,0","25,0","4,0","8,0","12,0","23,0","17,0","2,0","21,0","5,0","15,0","170,0"
verbeteren,"1,0","13,0","21,0","29,0","5,0","4,0","9,0","12,0","5,0","3,0","14,0","6,0","14,0","134,0"
overheid,"3,0","80,0","160,0","168,0","26,0","18,0","61,0","83,0","93,0","10,0","167,0","14,0","107,0","971,0"
gemakkelijk,"1,0","2,0","5,0","15,0","1,0","3,0","4,0","4,0","0,0","0,0","5,0","2,0","2,0","44,0"
benaderen,"1,0","0,0","0,0","2,0","2,0","0,0","0,0","1,0","0,0","0,0","1,0","0,0","0,0","7,0"
belbaar,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
schriftelijk,"1,0","0,0","0,0","1,0","0,0","0,0","1,0","0,0","0,0","0,0","4,0","0,0","1,0","8,0"
capaciteitsuitbreiding,"1,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0"
ombudsman,"1,0","0,0","0,0","1,0","0,0","1,0","0,0","2,0","0,0","0,0","0,0","0,0","0,0","5,0"
burger,"2,0","41,0","29,0","25,0","8,0","10,0","9,0","31,0","47,0","3,0","64,0","3,0","12,0","278,0"
weerbaarder,"1,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0"
onderwijs,"8,0","55,0","116,0","127,0","40,0","47,0","41,0","104,0","49,0","21,0","58,0","14,0","65,0","735,0"
milieu,"1,0","4,0","10,0","15,0","0,0","1,0","3,0","10,0","25,0","6,0","16,0","4,0","4,0","98,0"
democratie,"2,0","6,0","21,0","30,0","3,0","22,0","26,0","19,0","6,0","5,0","4,0","7,0","9,0","155,0"
defensie,"1,0","9,0","11,0","15,0","9,0","15,0","0,0","2,0","1,0","8,0","12,0","0,0","17,0","99,0"
rechtvaardig,"1,0","5,0","25,0","11,0","4,0","0,0","8,0","2,0","10,0","0,0","8,0","3,0","5,0","82,0"
humaan,"1,0","2,0","3,0","4,0","3,0","0,0","5,0","5,0","1,0","0,0","0,0","0,0","0,0","24,0"
vluchtelingenbeleid,"2,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0"
vluchteling,"3,0","13,0","31,0","8,0","8,0","0,0","8,0","16,0","4,0","0,0","16,0","5,0","12,0","124,0"
uitgeprocedeerde,"1,0","0,0","0,0","1,0","1,0","1,0","0,0","0,0","0,0","0,0","1,0","0,0","5,0","10,0"
asielzoeker,"2,0","3,0","13,0","14,0","6,0","7,0","5,0","4,0","0,0","6,0","42,0","0,0","19,0","120,0"
uitspraak,"1,0","2,0","1,0","2,0","1,0","0,0","0,0","0,0","0,0","1,0","1,0","0,0","8,0","17,0"
terugsturen,"1,0","0,0","0,0","1,0","0,0","0,0","0,0","3,0","0,0","0,0","1,0","0,0","6,0","12,0"
land,"6,0","126,0","137,0","101,0","37,0","43,0","56,0","92,0","54,0","53,0","144,0","60,0","137,0","1042,0"
herkomst,"1,0","1,0","7,0","5,0","3,0","3,0","4,0","6,0","5,0","0,0","10,0","1,0","7,0","53,0"
evenredig,"2,0","1,0","4,0","1,0","0,0","0,0","1,0","0,0","2,0","0,0","2,0","1,0","1,0","15,0"
opvang,"1,0","12,0","27,0","23,0","5,0","4,0","9,0","11,0","12,0","0,0","27,0","5,0","29,0","163,0"
verdelen,"1,0","2,0","6,0","9,0","4,0","2,0","3,0","8,0","8,0","1,0","7,0","4,0","0,0","55,0"
beter,"2,0","1,0","13,0","1,0","2,0","0,0","0,0","3,0","0,0","1,0","0,0","2,0","7,0","31,0"
uniform,"1,0","0,0","2,0","2,0","0,0","1,0","0,0","0,0","0,0","0,0","3,0","0,0","0,0","9,0"
bewaking,"1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","1,0","0,0","0,0","4,0"
buitengrens,"1,0","3,0","1,0","1,0","2,0","0,0","0,0","1,0","0,0","1,0","1,0","0,0","11,0","22,0"
mensensmokkel,"1,0","0,0","0,0","1,0","0,0","0,0","1,0","0,0","0,0","0,0","3,0","0,0","1,0","7,0"
streng,"2,0","14,0","12,0","9,0","0,0","3,0","16,0","6,0","14,0","1,0","17,0","0,0","9,0","101,0"
bestraft,"2,0","2,0","1,0","0,0","1,0","1,0","1,0","2,0","1,0","1,0","2,0","1,0","3,0","18,0"
snelle,"1,0","0,0","1,0","1,0","0,0","0,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0","5,0"
doorloopprocedures,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
weten,"1,0","8,0","24,0","17,0","5,0","1,0","9,0","13,0","4,0","8,0","19,0","1,0","8,0","118,0"
klimaatbeleid,"1,0","1,0","0,0","3,0","4,0","6,0","8,0","5,0","6,0","7,0","2,0","4,0","6,0","53,0"
krachtig,"3,0","9,0","5,0","4,0","1,0","0,0","1,0","2,0","4,0","0,0","5,0","1,0","1,0","35,0"
technologie,"1,0","9,0","10,0","15,0","0,0","0,0","6,0","6,0","2,0","0,0","6,0","0,0","4,0","59,0"
wereld,"1,0","25,0","27,0","65,0","6,0","9,0","18,0","24,0","50,0","6,0","21,0","10,0","30,0","291,0"
milieubeleid,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0","0,0","0,0","0,0","0,0","3,0"
herstel,"1,0","12,0","19,0","13,0","3,0","0,0","3,0","2,0","6,0","1,0","2,0","0,0","11,0","73,0"
biodiversiteit,"1,0","2,0","20,0","19,0","0,0","0,0","2,0","2,0","23,0","0,0","3,0","1,0","1,0","74,0"
trachten,"1,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0"
schade,"1,0","8,0","10,0","14,0","2,0","1,0","2,0","9,0","20,0","2,0","6,0","6,0","4,0","84,0"
economie,"2,0","66,0","63,0","73,0","15,0","19,0","33,0","50,0","23,0","9,0","15,0","11,0","40,0","418,0"
groei,"1,0","4,0","20,0","12,0","4,0","0,0","2,0","8,0","19,0","1,0","8,0","2,0","27,0","108,0"
belemmeren,"1,0","0,0","2,0","1,0","0,0","0,0","0,0","2,0","1,0","0,0","1,0","0,0","0,0","8,0"
klimaatverandering,"1,0","4,0","22,0","28,0","1,0","1,0","9,0","9,0","9,0","1,0","1,0","1,0","3,0","87,0"
zeespiegelstijging,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
bedreiging,"1,0","2,0","2,0","1,0","0,0","2,0","1,0","3,0","2,0","1,0","3,0","3,0","7,0","28,0"
verdienen,"2,0","12,0","30,0","42,0","4,0","4,0","23,0","37,0","16,0","5,0","79,0","15,0","25,0","293,0"
decennia,"1,0","3,0","7,0","4,0","2,0","5,0","4,0","3,0","2,0","1,0","4,0","0,0","16,0","52,0"
hierop,"1,0","0,0","6,0","6,0","0,0","0,0","1,0","1,0","2,0","0,0","6,0","0,0","2,0","24,0"
voorbereiden,"1,0","6,0","4,0","4,0","0,0","2,0","0,0","1,0","2,0","0,0","5,0","0,0","2,0","27,0"
topkwaliteiten,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
eeuw,"1,0","3,0","3,0","2,0","2,0","1,0","4,0","1,0","2,0","0,0","10,0","0,0","6,0","35,0"
modern,"1,0","5,0","4,0","21,0","0,0","2,0","3,0","1,0","0,0","0,0","9,0","0,0","9,0","54,0"
overschakelen,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
circulaire,"1,0","4,0","15,0","18,0","1,0","0,0","7,0","6,0","4,0","0,0","1,0","1,0","2,0","59,0"
gebruik,"3,0","11,0","50,0","36,0","4,0","5,0","15,0","19,0","45,0","2,0","62,0","3,0","17,0","267,0"
kunstmest,"1,0","0,0","6,0","5,0","0,0","0,0","1,0","0,0","5,0","0,0","3,0","0,0","0,0","21,0"
gif,"1,0","1,0","1,0","1,0","1,0","0,0","1,0","0,0","2,0","0,0","0,0","0,0","0,0","8,0"
landbouw,"1,0","15,0","16,0","24,0","5,0","14,0","29,0","8,0","40,0","1,0","22,0","1,0","14,0","189,0"
antibiotica,"1,0","0,0","2,0","1,0","0,0","0,0","0,0","0,0","3,0","0,0","2,0","0,0","3,0","12,0"
veehouderij,"2,0","1,0","7,0","3,0","0,0","1,0","2,0","3,0","46,0","0,0","2,0","0,0","3,0","70,0"
verminderd,"1,0","1,0","1,0","2,0","1,0","1,0","0,0","0,0","2,0","0,0","2,0","0,0","3,0","13,0"
beperking,"1,0","14,0","36,0","28,0","1,0","5,0","22,0","13,0","6,0","2,0","33,0","9,0","9,0","177,0"
grootschalige,"1,0","3,0","10,0","8,0","0,0","0,0","2,0","3,0","3,0","1,0","5,0","0,0","3,0","38,0"
intensief,"1,0","4,0","14,0","16,0","0,0","0,0","4,0","3,0","8,0","0,0","8,0","0,0","4,0","59,0"
stimulering,"1,0","0,0","2,0","2,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","1,0","7,0"
kwaliteitsbedrijf,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
visserij,"1,0","5,0","9,0","4,0","0,0","4,0","1,0","0,0","15,0","2,0","5,0","0,0","2,0","48,0"
steun,"1,0","3,0","23,0","11,0","2,0","5,0","3,0","17,0","4,0","5,0","27,0","5,0","9,0","112,0"
onredelijk,"1,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0"
teruggedrongen,"1,0","0,0","2,0","0,0","1,0","0,0","0,0","1,0","0,0","0,0","1,0","1,0","0,0","6,0"
duurzaamheidsmaatregel,"1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","3,0"
volgen,"1,0","12,0","27,0","42,0","12,0","4,0","11,0","16,0","6,0","0,0","12,0","2,0","28,0","171,0"
garanderen,"1,0","2,0","3,0","10,0","1,0","1,0","11,0","4,0","1,0","0,0","8,0","3,0","8,0","53,0"
aanwinning,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
historisch,"2,0","2,0","2,0","2,0","1,0","8,0","1,0","2,0","3,0","0,0","6,0","2,0","0,0","30,0"
gangbare,"1,0","1,0","0,0","1,0","0,0","1,0","0,0","0,0","4,0","0,0","1,0","0,0","0,0","9,0"
waarop,"1,0","2,0","12,0","13,0","0,0","1,0","1,0","9,0","17,0","0,0","5,0","0,0","7,0","68,0"
tekort,"1,0","6,0","13,0","13,0","2,0","5,0","2,0","14,0","9,0","0,0","15,0","2,0","10,0","92,0"
grond,"1,0","8,0","22,0","16,0","2,0","3,0","8,0","6,0","17,0","0,0","15,0","2,0","7,0","106,0"
oplossen,"1,0","8,0","11,0","9,0","1,0","2,0","3,0","4,0","6,0","1,0","6,0","1,0","6,0","58,0"
cultureel,"1,0","7,0","15,0","17,0","4,0","5,0","12,0","19,0","7,0","1,0","12,0","0,0","7,0","105,0"
publiek,"2,0","11,0","76,0","50,0","10,0","15,0","43,0","30,0","16,0","6,0","25,0","28,0","13,0","318,0"
omroep,"3,0","2,0","17,0","15,0","0,0","3,0","3,0","4,0","3,0","3,0","10,0","0,0","7,0","70,0"
feit,"1,0","3,0","1,0","5,0","2,0","2,0","2,0","1,0","1,0","0,0","8,0","0,0","1,0","27,0"
eenmaal,"1,0","0,0","0,0","1,0","2,0","0,0","0,0","3,0","1,0","1,0","2,0","0,0","2,0","13,0"
netwerk,"1,0","6,0","14,0","7,0","0,0","0,0","4,0","6,0","6,0","0,0","3,0","0,0","1,0","48,0"
binden,"2,0","8,0","5,0","13,0","2,0","5,0","4,0","6,0","5,0","2,0","7,0","4,0","3,0","66,0"
televisiezend,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","2,0"
reclamebeleid,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
ster,"1,0","0,0","0,0","0,0","0,0","0,0","3,0","0,0","0,0","0,0","0,0","0,0","0,0","4,0"
aanpassen,"1,0","7,0","9,0","8,0","1,0","1,0","1,0","4,0","10,0","1,0","16,0","2,0","3,0","62,0"
financieren,"1,0","2,0","3,0","4,0","2,0","0,0","5,0","4,0","9,0","0,0","7,0","1,0","3,0","41,0"
buitenland,"1,0","7,0","5,0","23,0","7,0","5,0","8,0","3,0","7,0","6,0","13,0","3,0","11,0","99,0"
overdag,"3,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","2,0","0,0","2,0","8,0"
middagmagazine,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
nieuwsvoorziening,"1,0","1,0","1,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","2,0","0,0","0,0","6,0"
cultuurinstellingenellingen,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
productieopdracht,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
individueel,"1,0","4,0","2,0","16,0","0,0","2,0","7,0","8,0","5,0","0,0","8,0","0,0","7,0","60,0"
sporten,"1,0","4,0","6,0","6,0","0,0","0,0","1,0","2,0","2,0","0,0","0,0","1,0","7,0","29,0"
televisie,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","2,0"
doelkanaal,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
online,"1,0","6,0","16,0","22,0","0,0","2,0","2,0","6,0","5,0","0,0","9,0","0,0","10,0","77,0"
internetpolitie,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
fraude,"1,0","2,0","1,0","4,0","2,0","1,0","0,0","1,0","3,0","1,0","2,0","3,0","4,0","25,0"
oplichting,"1,0","1,0","0,0","1,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","4,0"
opspoort,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","2,0"
internetmisdaden,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
strafexpeditien,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
standbeeld,"1,0","0,0","0,0","0,0","0,0","1,0","0,0","1,0","0,0","1,0","0,0","0,0","0,0","4,0"
heldendaden,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
overwinning,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
uitbuiting,"1,0","4,0","21,0","4,0","4,0","1,0","5,0","5,0","3,0","0,0","8,0","8,0","1,0","65,0"
slavernij,"1,0","0,0","6,0","2,0","1,0","0,0","2,0","2,0","1,0","1,0","5,0","0,0","0,0","21,0"
vermelden,"1,0","0,0","1,0","1,0","0,0","0,0","1,0","1,0","4,0","0,0","0,0","0,0","0,0","9,0"
dragen,"1,0","21,0","41,0","30,0","7,0","6,0","11,0","26,0","18,0","1,0","25,0","4,0","14,0","201,0"
evenwichtig,"1,0","2,0","3,0","2,0","0,0","1,0","0,0","0,0","1,0","0,0","6,0","0,0","0,0","16,0"
geschiedenis,"1,0","4,0","9,0","4,0","4,0","8,0","3,0","1,0","4,0","2,0","4,0","0,0","2,0","46,0"
bewustwording,"1,0","1,0","3,0","3,0","4,0","0,0","3,0","2,0","0,0","0,0","2,0","0,0","0,0","18,0"
achtneming,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
mores,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
waarbinnen,"1,0","1,0","1,0","3,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","7,0"
gebeurtenis,"1,0","0,0","3,0","1,0","0,0","0,0","0,0","0,0","2,0","0,0","2,0","0,0","1,0","10,0"
afspeeld,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
cultuurinstelling,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
voorstelling,"1,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0"
programmeren,"1,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0"
bedrijf,"2,0","57,0","86,0","120,0","24,0","16,0","79,0","70,0","45,0","5,0","76,0","39,0","111,0","719,0"
oog,"1,0","9,0","32,0","19,0","6,0","4,0","5,0","4,0","2,0","1,0","31,0","2,0","7,0","122,0"
digivaardig,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
kiesdrempel,"1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0"
versnippering,"1,0","1,0","5,0","0,0","0,0","0,0","0,0","2,0","0,0","0,0","2,0","0,0","0,0","11,0"
bevoegdheid,"1,0","5,0","11,0","15,0","2,0","4,0","4,0","5,0","7,0","1,0","22,0","1,0","15,0","90,0"
centrumgemeente,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
europa,"1,0","35,0","48,0","48,0","4,0","4,0","29,0","29,0","18,0","2,0","16,0","5,0","36,0","274,0"
kiezen,"1,0","21,0","35,0","46,0","4,0","9,0","32,0","31,0","24,0","9,0","38,0","8,0","21,0","279,0"
burgemeester,"1,0","4,0","1,0","2,0","1,0","4,0","2,0","4,0","0,0","2,0","4,0","0,0","3,0","28,0"
voorstander,"1,0","3,0","6,0","15,0","3,0","1,0","2,0","1,0","1,0","0,0","3,0","0,0","1,0","37,0"
referenda,"1,0","0,0","0,0","0,0","0,0","8,0","0,0","0,0","0,0","0,0","2,0","0,0","2,0","13,0"
zwaarwegend,"1,0","0,0","0,0","1,0","0,0","0,0","1,0","0,0","1,0","0,0","1,0","0,0","0,0","5,0"
voorstel,"1,0","8,0","24,0","6,0","0,0","2,0","4,0","2,0","2,0","1,0","12,0","2,0","0,0","62,0"
invloed,"1,0","1,0","8,0","19,0","3,0","6,0","2,0","7,0","10,0","0,0","11,0","4,0","4,0","76,0"
gemeenteraadverkiezing,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
overheerst,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
politicus,"1,0","6,0","1,0","5,0","0,0","1,0","0,0","2,0","3,0","5,0","4,0","6,0","7,0","41,0"
gemeenteraadsverkiezing,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
alfabetische,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
volgorde,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","2,0"
woensdag,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","1,0","3,0"
goedkoop,"1,0","2,0","10,0","5,0","0,0","2,0","4,0","5,0","7,0","0,0","8,0","0,0","4,0","48,0"
bepalen,"1,0","7,0","15,0","26,0","8,0","13,0","5,0","10,0","14,0","3,0","29,0","2,0","13,0","145,0"
dienst,"1,0","16,0","22,0","27,0","0,0","2,0","13,0","15,0","19,0","0,0","12,0","6,0","21,0","152,0"
paspoort,"1,0","1,0","0,0","2,0","0,0","4,0","0,0","3,0","0,0","0,0","0,0","0,0","2,0","13,0"
rijbewijs,"1,0","1,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","3,0"
mijden,"1,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","3,0"
wegennet,"2,0","0,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,0","0,0","2,0","9,0"
zeeland,"1,0","2,0","6,0","2,0","0,0","1,0","1,0","3,0","2,0","0,0","3,0","1,0","0,0","22,0"
schakelen,"1,0","0,0","1,0","2,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","5,0"
tolheffing,"1,0","0,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0"
westerscheldetunnel,"1,0","1,0","1,0","0,0","0,0","2,0","0,0","1,0","0,0","0,0","1,0","1,0","0,0","8,0"
provinciaal,"1,0","2,0","3,0","1,0","0,0","0,0","1,0","2,0","0,0","0,0","4,0","1,0","1,0","14,0"
belastingen,"1,0","10,0","10,0","16,0","1,0","11,0","2,0","6,0","3,0","2,0","8,0","0,0","14,0","84,0"
maximaal,"2,0","5,0","28,0","22,0","4,0","9,0","7,0","10,0","13,0","1,0","6,0","3,0","8,0","116,0"
inflatiecorrectie,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
hierdoor,"1,0","5,0","5,0","11,0","2,0","5,0","3,0","3,0","9,0","1,0","13,0","0,0","15,0","73,0"
inleveren,"1,0","0,0","0,0","0,0","2,0","0,0","0,0","0,0","0,0","0,0","5,0","0,0","0,0","8,0"
waterzuiveringsbelasting,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
daadwerkelijk,"1,0","0,0","9,0","8,0","0,0","0,0","2,0","6,0","3,0","0,0","11,0","1,0","6,0","47,0"
waterverbruik,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","2,0"
feitelijk,"1,0","1,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","4,0","0,0","0,0","8,0"
aantal,"2,0","20,0","54,0","25,0","7,0","16,0","6,0","15,0","46,0","3,0","61,0","2,0","25,0","277,0"
persoon,"1,0","6,0","7,0","21,0","6,0","3,0","2,0","7,0","2,0","2,0","20,0","1,0","8,0","86,0"
huishouden,"1,0","3,0","9,0","13,0","2,0","1,0","2,0","9,0","7,0","3,0","16,0","4,0","5,0","75,0"
eerlijker,"1,0","3,0","7,0","4,0","4,0","1,0","7,0","7,0","4,0","0,0","3,0","5,0","0,0","46,0"
motiveert,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
zuinig,"1,0","3,0","4,0","0,0","0,0","0,0","0,0","1,0","1,0","1,0","5,0","0,0","1,0","17,0"
drinkwater,"1,0","0,0","5,0","1,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","8,0"
waterschap,"1,0","4,0","3,0","4,0","0,0","0,0","4,0","4,0","5,0","0,0","6,0","0,0","1,0","30,0"
wijziging,"1,0","1,0","4,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","7,0","0,0","1,0","12,0"
waterwet,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
kerntaak,"2,0","3,0","2,0","3,0","4,0","0,0","0,0","1,0","0,0","0,0","6,0","0,0","0,0","21,0"
breiden,"1,0","3,0","4,0","8,0","0,0","0,0","6,0","8,0","5,0","0,0","0,0","1,0","13,0","48,0"
commerciel,"1,0","3,0","5,0","6,0","0,0","1,0","1,0","1,0","5,0","0,0","2,0","0,0","0,0","24,0"
opwekken,"1,0","0,0","0,0","5,0","0,0","0,0","4,0","0,0","5,0","0,0","1,0","2,0","0,0","18,0"
energie,"1,0","6,0","35,0","32,0","9,0","2,0","18,0","15,0","41,0","1,0","17,0","6,0","18,0","199,0"
verkopen,"2,0","0,0","3,0","4,0","1,0","2,0","6,0","5,0","8,0","1,0","2,0","0,0","5,0","39,0"
overschot,"1,0","1,0","3,0","1,0","0,0","1,0","0,0","0,0","2,0","0,0","3,0","0,0","0,0","12,0"
grondstof,"1,0","7,0","11,0","15,0","0,0","1,0","4,0","5,0","22,0","0,0","15,0","1,0","9,0","91,0"
dergelijke,"1,0","1,0","5,0","1,0","0,0","0,0","2,0","0,0","2,0","0,0","12,0","1,0","0,0","25,0"
rioolwater,"1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0"
halen,"1,0","12,0","15,0","21,0","4,0","4,0","6,0","12,0","10,0","7,0","8,0","5,0","14,0","119,0"
beloning,"1,0","1,0","11,0","6,0","2,0","2,0","5,0","12,0","4,0","3,0","3,0","4,0","0,0","53,0"
leraar,"1,0","7,0","27,0","46,0","7,0","1,0","16,0","29,0","7,0","8,0","5,0","0,0","10,0","164,0"
voortzetten,"1,0","5,0","18,0","5,0","0,0","4,0","4,0","8,0","3,0","0,0","13,0","2,0","4,0","67,0"
aanbieden,"2,0","0,0","13,0","6,0","8,0","0,0","4,0","5,0","4,0","0,0","7,0","1,0","8,0","57,0"
taal,"2,0","12,0","9,0","11,0","4,0","2,0","1,0","11,0","2,0","3,0","5,0","2,0","8,0","71,0"
degene,"2,0","0,0","2,0","4,0","2,0","0,0","1,0","1,0","0,0","0,0","6,0","0,0","0,0","18,0"
onvoldoende,"1,0","4,0","15,0","6,0","7,0","4,0","1,0","8,0","1,0","0,0","14,0","0,0","9,0","69,0"
beheersen,"1,0","0,0","0,0","2,0","0,0","0,0","1,0","0,0","2,0","0,0","2,0","1,0","3,0","12,0"
taalcursussen,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","2,0"
beroepsonderwijs,"2,0","4,0","7,0","4,0","0,0","6,0","0,0","2,0","1,0","1,0","10,0","1,0","3,0","41,0"
volwassenen,"1,0","0,0","3,0","4,0","0,0","0,0","0,0","5,0","0,0","0,0","4,0","0,0","0,0","16,0"
samenwerking,"3,0","46,0","65,0","62,0","2,0","4,0","22,0","26,0","2,0","1,0","41,0","4,0","22,0","300,0"
bedrijfsleven,"1,0","3,0","2,0","18,0","2,0","0,0","5,0","3,0","2,0","0,0","13,0","1,0","8,0","57,0"
geïntensiveerd,"1,0","0,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","4,0"
nederlander,"1,0","7,0","17,0","39,0","25,0","9,0","3,0","15,0","6,0","25,0","10,0","1,0","19,0","176,0"
leeftijdgrens,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
volwassenenonderwijs,"3,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","4,0"
losgelaat,"1,0","0,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0"
voortgezet,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
