,50PLUS,CDA,CU,D66,DENK,FVD,GL,PvdA,PvdD,PVV,SGP,SP,VVD
kwaliteitsgrens,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
kwaliteitsimpul,"0,0","0,0","0,1019","0,0","0,0","0,0","0,0817","0,0","0,0498","0,0","0,0","0,0","0,0"
kwaliteitsproduct,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
kweken,"0,0","0,0","0,1019","0,0983","0,0","0,0","0,0","0,0","0,0","0,0","0,0345","0,0","0,0524"
kwelder,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
kwijtraak,"0,0","0,0","0,034","0,0","0,0","0,0","0,0817","0,0","0,0","0,0","0,0","0,0","0,0"
kwijtschelding,"0,0","0,0","0,068","0,0","0,0","0,0","0,0817","0,0477","0,0","0,0","0,0","0,0","0,0"
laadinfrastructuur,"0,0","0,0","0,068","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0524"
laadmogelijkheden,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
laadpaal,"0,0","0,0","0,1359","0,0655","0,0","0,0","0,0817","0,0","0,0","0,0","0,0345","0,0","0,0"
laagbelastend,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
laagbetaalde,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
laaghangende,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
laagst,"0,0","0,0","0,068","0,0","0,0","0,0","0,0817","0,0477","0,0","0,0","0,0","0,0","0,0"
label,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0477","0,0498","0,0","0,0691","0,0","0,0"
labeling,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
labour,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lachgas,"0,0","0,0","0,068","0,0","0,1534","0,0","0,0","0,0","0,0","0,0","0,0345","0,0","0,0"
ladder,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
laden,"0,0","0,0","0,068","0,0655","0,0","0,0","0,0","0,0477","0,0","0,0","0,0345","0,0","0,0524"
lage,"0,0","0,0","0,068","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0345","0,0","0,0"
lager,"0,0","0,0","0,1359","0,0","0,6137","0,2626","0,0","0,0477","0,0","0,501","0,0","0,0","0,2622"
landbouwbeleid,"0,0","0,0","0,1019","0,0","0,0","0,0","0,0","0,0","0,1494","0,0","0,1726","0,0","0,1573"
landbouwsector,"0,0","0,0","0,068","0,0655","0,0","0,0","0,0","0,0955","0,0498","0,0","0,0345","0,0","0,1049"
landeninformatie,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0477","0,0","0,0","0,0","0,0","0,0"
landsbestuur,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
landschapselent,"0,0","0,0","0,1019","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
langeafstandstransport,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lappendeken,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0345","0,0","0,0"
laptop,"0,0","0,0","0,034","0,0328","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
las,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
laseer,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
laserapparaat,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lastenverdeling,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0345","0,0","0,0524"
lastenverzwaring,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0524"
latent,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leasemaatschappij,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
least,"0,0","0,0","0,034","0,0328","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
ledenaantal,"0,0","0,0","0,034","0,0328","0,0","0,0","0,0","0,0","0,0","0,0","0,0345","0,0","0,0"
ledenmodel,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
ledenomroepen,"0,0","0,0","0,068","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leefbaarheidsfonds,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leefgeld,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0524"
leefomstandigheid,"0,0","0,0","0,068","0,0328","0,1534","0,0","0,0","0,0","0,1494","0,0","0,0691","0,0","0,0"
leefpatroon,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0498","0,0","0,0","0,0","0,0"
leefstijlpreventie,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leeftijdgenoot,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leeftijdsgenoot,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leeg,"0,0","0,0","0,068","0,0655","0,0","0,0","0,0817","0,0","0,1992","0,0","0,1036","0,0","0,1049"
leeggekomen,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leegstaand,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2282","0,0"
leegstaande,"0,0","0,0","0,034","0,0","0,0","0,0","0,0817","0,0","0,0996","0,0","0,0691","0,0","0,0524"
leegstand,"0,0","0,0","0,1019","0,0655","0,0","0,0","0,245","0,0477","0,0996","0,0","0,0","0,2282","0,0524"
leegstandsbelasting,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leek,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1049"
leennorm,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leenruimte,"0,0","0,0","0,068","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leerlingenpopulatie,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leerlingenvervoer,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0345","0,0","0,0"
leermiddelen,"0,0","0,0","0,068","0,0983","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leermoment,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leerplek,"0,0","0,0","0,068","0,0","0,1534","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leerproblemen,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leerrekening,"0,0","0,0","0,1019","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2622"
leerresultaten,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leesagenda,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leesbevordering,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lef,"0,0","0,0","0,068","0,0328","0,0","0,0","0,0","0,0","0,0","0,501","0,0","0,0","0,0"
legaal,"0,0","0,0","0,034","0,0655","0,0","0,1313","0,0","0,0","0,0996","0,0","0,0","0,0","0,0"
legalisatie,"0,0","0,0","0,068","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
legalisatiebeleid,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
legitimatie,"0,0","0,0","0,068","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
legitimiteit,"0,0","0,0","0,034","0,131","0,0","0,0","0,0","0,0","0,0498","0,0","0,0691","0,0","0,1049"
lei,"0,0","0,0","0,1699","0,0328","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
leidend,"0,0","0,0","0,3398","0,262","0,0","0,1313","0,3267","0,4296","0,0498","0,0","0,1381","0,2282","0,8389"
leider,"0,0","0,0","0,034","0,0328","0,1534","0,0","0,0","0,0477","0,0","0,0","0,0","0,0","0,0524"
leiderschap,"0,0","0,0","0,1019","0,0","0,0","0,0","0,245","0,0477","0,0","0,0","0,0","0,0","0,1049"
leidraad,"0,0","0,0","0,034","0,0655","0,0","0,0","0,0","0,0477","0,0996","0,0","0,0","0,0","0,0524"
lekenrechter,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lekker,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0477","0,0498","0,0","0,0","0,0","0,1049"
lenigen,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lerarenteam,"0,0","0,0","0,034","0,0655","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lesbos,"0,0","0,0","0,1019","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lesmateriaal,"0,0","0,0","0,034","0,0328","0,0","0,0","0,0","0,0","0,0996","0,0","0,0345","0,0","0,0524"
lesmethode,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1036","0,0","0,0"
lesprogramma,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0498","0,0","0,0","0,0","0,0"
lesvoorbereiding,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
letselschade,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2282","0,0"
letten,"0,0","0,0","0,034","0,0328","0,0","0,0","0,0","0,0","0,249","0,0","0,1036","0,0","0,1573"
letter,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0524"
letterlijk,"0,0","0,0","0,1359","0,0328","0,0","0,0","0,0","0,1432","0,498","0,7515","0,0345","0,0","0,0"
leunen,"0,0","0,0","0,068","0,0655","0,0","0,0","0,0","0,0","0,0","0,0","0,0345","0,0","0,0"
levensbegin,"0,0","0,0","0,068","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
levensbehoeft,"0,0","0,0","0,034","0,0","0,0","0,0","0,1633","0,0","0,0","0,0","0,1726","0,0","0,0"
levensbelang,"0,0","0,0","0,1699","0,0","0,0","0,0","0,1633","0,0","0,249","0,0","0,0345","0,0","0,0"
levensbeschouwelijk,"0,0","0,0","0,068","0,0328","0,0","0,0","0,0","0,0","0,0","0,0","0,1381","0,0","0,0"
levensbeschouwing,"0,0","0,0","0,068","0,0","0,0","0,1313","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
levensbeëindigend,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
levensbeëindiging,"0,0","0,0","0,034","0,0328","0,0","0,0","0,0","0,0","0,0","0,0","0,0345","0,0","0,0"
levensduur,"0,0","0,0","0,068","0,0328","0,0","0,0","0,0","0,0","0,0498","0,0","0,0345","0,2282","0,0"
levensloopbegeleider,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
levensloopbegeleiding,"0,0","0,0","0,1019","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
levensomstandigheden,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
levensvatbaar,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
levensverwachting,"0,0","0,0","0,068","0,0328","0,0","0,1313","0,0","0,0","0,0","0,0","0,0345","0,0","0,0524"
leverancier,"0,0","0,0","0,068","0,0328","0,0","0,0","0,0","0,0","0,0498","0,0","0,0345","0,0","0,0"
leveringsvoorwaarde,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lhbttaer,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
liberalisering,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2282","0,0"
lichaam,"0,0","0,0","0,068","0,0655","0,0","0,0","0,0817","0,0477","0,0996","0,0","0,0691","0,0","0,0"
lichtpunt,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lichtvaardig,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lief,"0,0","0,0","0,068","0,0","0,0","0,1313","0,0","0,0","0,0","0,0","0,0345","0,0","0,0"
liefdevol,"0,0","0,0","0,068","0,0","0,1534","0,0","0,0","0,0477","0,0","0,0","0,0","0,0","0,0"
ligging,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lightrail,"0,0","0,0","0,1019","0,0","0,1534","0,0","0,0","0,0","0,0","0,0","0,0345","0,0","0,0"
ligplaats,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0345","0,0","0,0"
ligplaatsbeleid,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lijf,"0,0","0,0","0,068","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lineaire,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0477","0,0","0,0","0,0","0,0","0,0"
linie,"0,0","0,0","0,034","0,0","0,0","0,1313","0,0","0,0","0,0","0,0","0,0","0,2282","0,0"
liquiditeitsproblemen,"0,0","0,0","0,068","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
liter,"0,0","0,0","0,068","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0345","0,0","0,0"
liëren,"0,0","0,0","0,034","0,0","0,1534","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lobby,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2282","0,0524"
locomotieven,"0,0","0,0","0,068","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
loer,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0477","0,1494","0,0","0,0","0,0","0,0"
logge,"0,0","0,0","0,034","0,0","0,0","0,1313","0,0","0,0","0,0","0,0","0,0345","0,0","0,0"
logica,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0477","0,0","0,0","0,0345","0,0","0,0524"
logistiek,"0,0","0,0","0,068","0,0328","0,1534","0,0","0,1633","0,0","0,0","0,0","0,2072","0,0","0,1049"
lokprofiel,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
loondoorbetaling,"0,0","0,0","0,034","0,0655","0,1534","0,0","0,0817","0,0477","0,0","0,0","0,0345","0,0","0,1573"
loonkloof,"0,0","0,0","0,1019","0,0","0,0","0,0","0,0817","0,1909","0,0","0,0","0,0345","0,2282","0,0"
loonkosten,"0,0","0,0","0,1359","0,0","0,0","0,0","0,0","0,1432","0,0","0,0","0,0345","0,0","0,0"
loonmatiging,"0,0","0,0","0,068","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
loonstrook,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
loonstrookje,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
loonverschil,"0,0","0,0","0,034","0,0328","0,0","0,0","0,0","0,0477","0,0","0,0","0,0","0,0","0,0"
loonvoorwaarde,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
loopbaanbegeleiding,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
loopbaanperspectief,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
loopje,"0,0","0,0","0,034","0,0328","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
loopjongen,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1049"
looptijden,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0345","0,0","0,0"
loot,"0,0","0,0","0,034","0,0328","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
losgeslag,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
losstaande,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lot,"0,0","0,0","0,2718","0,0328","0,1534","0,1313","0,0","0,0477","0,0","0,0","0,1381","0,0","0,0524"
loterijreclames,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lotgenotencontact,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
louter,"0,0","0,0","0,034","0,0328","0,0","0,0","0,0","0,0477","0,0498","0,0","0,0345","0,0","0,0"
loverboys,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lto,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lucht,"0,0","0,0","0,2718","0,2293","0,0","0,1313","0,3267","0,1909","1,3944","0,7515","0,1381","0,4564","0,2097"
luchtkwaliteit,"0,0","0,0","0,068","0,1638","0,0","0,0","0,0817","0,2387","0,2988","0,2505","0,0345","0,2282","0,1049"
luchtvaarsector,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
luchtvaartgebied,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
luistergedrag,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lukken,"0,0","0,0","0,1019","0,0983","0,0","0,2626","0,0","0,1909","0,0","0,2505","0,0691","0,0","0,36700000000000005"
lukraak,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
lusten,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0498","0,0","0,0691","0,0","0,0524"
lvv,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
maaisel,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
maakbaar,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1726","0,0","0,0"
maakbaarheid,"0,0","0,0","0,1019","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0345","0,0","0,0"
maaltijden,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
maandelijk,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0498","0,0","0,0","0,0","0,0"
maas,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1381","0,0","0,0"
maatschappijbeeld,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
maatschappijvisie,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
maatstaf,"0,0","0,0","0,068","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
maatwerkoplossingen,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
machteld,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
machteloos,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0955","0,0","0,2505","0,0","0,0","0,0"
machtig,"0,0","0,0","0,068","0,0328","0,1534","0,0","0,0","0,0","0,0996","0,0","0,0","0,0","0,0524"
machtigt,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
machtsongelijkheid,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
machtsoverdracht,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
maffiapraktijken,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
mainportbeleid,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
mais,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
majeure,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
malafid,"0,0","0,0","0,068","0,0","0,1534","0,0","0,0817","0,0","0,0","0,0","0,0","0,0","0,0"
malafide,"0,0","0,0","0,068","0,0655","0,1534","0,0","0,1633","0,0477","0,1494","0,0","0,0691","0,0","0,1573"
manager,"0,0","0,0","0,034","0,0","0,0","0,1313","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
manifesteert,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
manifesteren,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
mantelzorglijn,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
mantelzorgondersteuning,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
mantelzorgsparen,"0,0","0,0","0,068","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
mantra,"0,0","0,0","0,034","0,0","0,0","0,0","0,0817","0,0","0,0","0,0","0,0","0,0","0,0"
mareschaussee,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
marin,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
marinierskazern,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0345","0,0","0,0"
marion,"0,0","0,0","0,068","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
maritiem,"0,0","0,0","0,068","0,0983","0,0","0,0","0,0","0,0477","0,0","0,0","0,1036","0,0","0,0"
marktconform,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0345","0,0","0,0"
marktevenwicht,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
marktkraamhouder,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
marktmacht,"0,0","0,0","0,034","0,0983","0,0","0,0","0,0817","0,0477","0,0","0,0","0,1726","0,0","0,2097"
marktpartij,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
marktpartijen,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0955","0,0","0,0","0,0691","0,0","0,1573"
marktsector,"0,0","0,0","0,034","0,0328","0,0","0,0","0,0","0,0477","0,0","0,0","0,0","0,0","0,0"
markttoets,"0,0","0,0","0,034","0,0","0,1534","0,0","0,0817","0,0","0,0","0,0","0,0345","0,0","0,0"
marktwaarde,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
marteling,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0477","0,0","0,0","0,0","0,0","0,0"
martine,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
massaal,"0,0","0,0","0,034","0,0328","0,0","1,3129","0,1633","0,0477","0,3984","0,501","0,1036","0,2282","0,1049"
massacolleges,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
massastudie,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
massavernietigingswapen,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
matchingsdruk,"0,0","0,0","0,068","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
materiaalgebruik,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
materiaalsoorten,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
materialenpaspoort,"0,0","0,0","0,068","0,0983","0,0","0,0","0,0","0,0","0,0498","0,0","0,0","0,0","0,0"
materiel,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
matrassen,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
max,"0,0","0,0","0,068","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
maximaliseren,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
maximumgrens,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
maximumsnelheid,"0,0","0,0","0,2039","0,0655","0,3068","0,3939","0,0","0,0","0,0498","0,2505","0,0","0,0","0,1573"
maximumtermijn,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
meanderend,"0,0","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
mechanisme,"0,0","0,0","0,068","0,0655","0,6137","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
medeburger,"0,0","0,0","0,1019","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
